filename,label,category
t2088.70s.jpg,bad,teammate-as-target
t0560.37s.jpg,bad,teammate-as-target
t1927.33s.jpg,bad,teammate-as-target
t2005.27s.jpg,bad,teammate-as-target
t0390.40s.jpg,bad,teammate-as-target
t0371.90s.jpg,bad,teammate-as-target
t1105.80s.jpg,bad,teammate-as-target
t0451.20s.jpg,bad,teammate-as-target
t0142.07s.jpg,bad,teammate-as-target
t0819.37s.jpg,bad,teammate-as-target
t2092.80s.jpg,bad,teammate-as-target
t0057.20s.jpg,bad,teammate-as-target
t0994.93s.jpg,bad,teammate-as-target
t0723.97s.jpg,bad,teammate-as-target
t0771.40s.jpg,bad,teammate-as-target
t1339.63s.jpg,bad,teammate-as-target
t0725.40s.jpg,bad,teammate-as-target
t1939.57s.jpg,bad,teammate-as-target
t1928.23s.jpg,bad,teammate-as-target
t0641.80s.jpg,bad,teammate-as-target
t0197.87s.jpg,bad,teammate-as-target
t1930.07s.jpg,bad,teammate-as-target
t2002.10s.jpg,bad,teammate-as-target
t0193.03s.jpg,bad,teammate-as-target
t0057.90s.jpg,bad,teammate-as-target
t0580.43s.jpg,bad,teammate-as-target
t0122.57s.jpg,bad,teammate-as-target
t0826.00s.jpg,bad,teammate-as-target
t0721.80s.jpg,bad,teammate-as-target
t0046.70s.jpg,bad,teammate-as-target
t1191.57s.jpg,bad,teammate-as-target
t1925.27s.jpg,bad,teammate-as-target
t0194.93s.jpg,bad,teammate-as-target
t0105.37s.jpg,bad,teammate-as-target
t0047.33s.jpg,bad,teammate-as-target
t0775.40s.jpg,bad,teammate-as-target
t2029.47s.jpg,bad,teammate-as-target
t0053.63s.jpg,bad,teammate-as-target
t0031.67s.jpg,bad,teammate-as-target
t0063.83s.jpg,bad,teammate-as-target
t0631.70s.jpg,bad,teammate-as-target
t0657.27s.jpg,bad,teammate-as-target
t0377.80s.jpg,bad,teammate-as-target
t0577.00s.jpg,bad,teammate-as-target
t0089.73s.jpg,bad,teammate-as-target
t0774.27s.jpg,bad,teammate-as-target
t0642.63s.jpg,bad,teammate-as-target
t0777.60s.jpg,bad,teammate-as-target
t0828.07s.jpg,bad,teammate-as-target
t1349.97s.jpg,bad,teammate-as-target
t0083.07s.jpg,good,
t0832.13s.jpg,good,
t0449.53s.jpg,bad,teammate-as-target
t0126.10s.jpg,bad,teammate-as-target
t0458.37s.jpg,bad,gun-viewmodel-as-head
t0124.53s.jpg,bad,teammate-as-target
t0578.77s.jpg,bad,teammate-as-target
t0061.87s.jpg,bad,teammate-as-target
t1039.77s.jpg,good,
t0311.33s.jpg,bad,teammate-as-target
t0075.57s.jpg,bad,teammate-as-target
t0574.87s.jpg,good,
t0562.47s.jpg,bad,teammate-as-target
t0320.17s.jpg,bad,teammate-as-target
t0158.20s.jpg,bad,other-bad
t0066.97s.jpg,bad,teammate-as-target
t1638.97s.jpg,bad,teammate-as-target
t1955.83s.jpg,bad,teammate-as-target
t1394.57s.jpg,bad,teammate-as-target
t0635.70s.jpg,bad,teammate-as-target
t0306.83s.jpg,bad,teammate-as-target
t0206.80s.jpg,bad,teammate-as-target
t0064.60s.jpg,bad,teammate-as-target
t2013.07s.jpg,bad,teammate-as-target
t1741.07s.jpg,bad,teammate-as-target
t1053.47s.jpg,good,
t0930.87s.jpg,good,
t1442.87s.jpg,good,
t0140.03s.jpg,bad,teammate-as-target
t0327.77s.jpg,good,
t1659.07s.jpg,good,
t1348.90s.jpg,good,
t1347.83s.jpg,good,
t1236.97s.jpg,good,
t0779.87s.jpg,good,
t0050.33s.jpg,bad,teammate-as-target
t0962.70s.jpg,bad,gun-viewmodel-as-head
t0830.37s.jpg,good,
t0574.00s.jpg,good,
t0585.87s.jpg,good,
t1576.80s.jpg,good,
t1524.03s.jpg,good,
t1782.93s.jpg,good,
t1580.23s.jpg,bad,other-bad
t0000.27s.jpg,good,
t1235.40s.jpg,good,
